iter	Passed	Remaining
580	6151	4436
581	6158	4423
582	6169	4412
583	6176	4399
584	6185	4388
585	6193	4375
586	6201	4363
587	6212	4353
588	6220	4340
589	6229	4329
590	6237	4316
591	6248	4306
592	6257	4294
593	6265	4282
594	6287	4279
595	6297	4269
596	6321	4267
597	6344	4264
598	6354	4253
599	6376	4251
600	6386	4239
601	6394	4227
602	6406	4217
603	6428	4214
604	6439	4204
605	6448	4192
606	6456	4180
607	6466	4169
608	6475	4157
609	6501	4156
610	6511	4145
611	6520	4133
612	6540	4129
613	6549	4117
614	6569	4112
615	6579	4101
616	6587	4089
617	6598	4078
618	6608	4067
619	6616	4055
620	6625	4043
621	6632	4030
622	6643	4019
623	6650	4007
624	6673	4004
625	6679	3990
626	6689	3979
627	6695	3966
628	6705	3954
629	6712	3942
630	6722	3931
631	6744	3927
632	6753	3915
633	6760	3902
634	6770	3891
635	6778	3879
636	6788	3868
637	6796	3856
638	6805	3844
639	6812	3832
640	6835	3828
641	6856	3823
642	6863	3810
643	6870	3797
644	6877	3785
645	6885	3773
646	6892	3760
647	6902	3749
648	6910	3737
649	6917	3724
650	6924	3712
651	6932	3700
652	6941	3688
653	6948	3676
654	6956	3664
655	6963	3651
656	6984	3646
657	6995	3636
658	7003	3624
659	7025	3619
660	7033	3607
661	7042	3595
662	7049	3583
663	7058	3571
664	7065	3559
665	7073	3547
666	7080	3534
667	7089	3523
668	7096	3511
669	7105	3499
670	7111	3486
671	7121	3475
672	7128	3463
673	7136	3451
674	7144	3440
675	7152	3427
676	7159	3416
677	7168	3404
678	7177	3392
679	7184	3381
680	7193	3369
681	7201	3357
682	7211	3346
683	7238	3344
684	7269	3343
685	7281	3333
686	7292	3322
687	7302	3311
688	7314	3301
689	7325	3291
690	7339	3282
691	7348	3270
692	7359	3260
693	7368	3248
694	7376	3237
695	7386	3226
696	7395	3215
697	7406	3204
698	7414	3192
699	7424	3181
700	7435	3171
701	7445	3160
702	7457	3150
703	7468	3140
704	7479	3129
705	7490	3119
706	7503	3109
707	7514	3099
708	7523	3087
709	7534	3077
710	7544	3066
711	7552	3054
712	7560	3043
713	7567	3031
714	7576	3020
715	7609	3018
716	7625	3009
717	7632	2997
718	7641	2986
719	7648	2974
720	7657	2963
721	7678	2956
722	7685	2944
723	7696	2933
724	7703	2922
725	7710	2910
726	7720	2899
727	7727	2887
728	7737	2876
729	7744	2864
730	7753	2853
731	7759	2841
732	7769	2829
733	7776	2818
734	7785	2806
735	7792	2794
736	7801	2783
737	7808	2771
738	7818	2761
739	7825	2749
740	7835	2738
741	7842	2726
742	7851	2715
743	7858	2703
744	7867	2692
745	7874	2681
746	7884	2670
747	7890	2658
748	7900	2647
749	7906	2635
750	7916	2624
751	7924	2613
752	7965	2612
753	7972	2601
754	7983	2590
755	7989	2578
756	7999	2567
757	8006	2556
758	8014	2544
759	8024	2533
760	8031	2522
761	8038	2510
762	8045	2499
763	8053	2487
764	8060	2476
765	8067	2464
766	8075	2453
767	8084	2442
768	8091	2430
769	8101	2419
770	8107	2408
771	8117	2397
772	8124	2385
773	8134	2375
774	8156	2367
775	8166	2357
776	8173	2345
777	8182	2334
778	8188	2323
779	8198	2312
780	8205	2300
781	8215	2290
782	8222	2278
783	8230	2267
784	8237	2256
785	8247	2245
786	8255	2234
787	8264	2223
788	8271	2212
789	8281	2201
790	8287	2189
791	8297	2179
792	8304	2167
793	8314	2157
794	8321	2145
795	8331	2135
796	8338	2123
797	8346	2112
798	8353	2101
799	8361	2090
800	8369	2079
801	8378	2068
802	8386	2057
803	8393	2046
804	8400	2034
805	8408	2023
